,input_text,target_text
594,"Entre os itens da proposta americana estão a proibição do comércio de material que possa ser usado para a fabricação de armas de destruição em massa, a inspeção de todos os navios cargueiros que cheguem ou saiam do país, a suspensão de todas as operações financeiras usadas para apoiar a proliferação nuclear, a proibição da importação de artigos de luxo e o embargo de compras de material militar pelo país. ",Estes são os itens da proposta americana: 
1901,"Mesmo com a diferença de preço, a projeção da MPX para o custo do megawatt produzido no estado é mais alta (US$ 2.321) do que o do gerado a partir de carvão importado da África ou da Colômbia (US$ 2.035). ","Mesmo com a diferença de preço, a projeção da MPX para o custo do megawatt produzido no estado é mais alta do que o custo do megawatt gerado com carvão importado da África ou da Colômbia. "
2049,É a tentação ditatorial do conjunto que assusta. ,A tentação ditatorial do conjunto assusta. 
2800,"A Google, que recebe currículos em seu estande, trouxe 10 engenheiros do seu centro de desenvolvimento em Belo Horizonte (MG) para conversar com interessados em trabalhar na companhia. ","A Google, que recebe currículos em seu estande, trouxe 10 engenheiros do seu centro de desenvolvimento em Belo Horizonte, para conversar com pessoas que têm interesse em trabalhar na companhia. "
3126,"Astrônomos brasileiros esperam fotografar os primeiros planetas fora do Sistema Solar com a ajuda do maior telescópio do mundo, o Gemini, a partir do ano que vem. ",Astrônomos brasileiros esperam fotografar os primeiros planetas fora do Sistema Solar com a ajuda do maior telescópio do mundo a partir do ano que vem. 
2098,Tanto a declaração de Bush como a escolha de Anbar para a visita indicam uma mudança com um claro objetivo político. ,Tanto a declaração de Bush como a escolha de Anbar para a visita indicam uma mudança com um claro objetivo político. 
3826,"A situação do rio Taquari motivou a criação do Programa Pantanal, quando o então presidente Fernando Henrique Cardoso, em 1995, sobrevoou a região e ficou impressionado com o rio assoreado, invadindo fazendas. ","A situação do rio Taquari provocou a criação do Programa Pantanal em 1995, época em que o presidente Fernando Henrique Cardoso sobrevoou a região e ficou impressionado com o rio entupido, invadindo fazendas. "
388,"O objetivo é constatar as condições das edificações e a higiene e segurança dos alunos para envio de laudo técnico aos órgãos oficiais recomendando providências, se necessárias. ","O objetivo é verificar as condições dos prédios e a higiene e segurança dos alunos, para enviar um laudo técnico aos órgãos oficiais. "
2073,"O projeto, criado em 2003, foi abraçado por secretarias municipais de saúde e professores, incluindo etapas de treinamento, palestras de conscientização, escovação e avaliações. ",O projeto foi criado em 2003. 
3894,Imagens revelaram que a cobertura próxima a uma das janelas da nave estava parcialmente solta. ,Imagens revelaram que a cobertura próxima a uma das janelas da nave estava um pouco solta. 
2435,"Segundo gravações da caixa-preta do A320 da Tam, um dos manetes, correspondente ao motor direito, que estava com o reverso travado, teria ficado na posição de aceleração. ","De acordo com gravações da caixa-preta do A320 da Tam, um dos manetes, correspondente ao motor direito, que estava com o reverso preso, teria ficado na posição de aceleração. "
927,"Antes, providenciaram os documentos para entrar no Uruguai e no Brasil. ","Antes, providenciaram os documentos para entrar no Uruguai e no Brasil. "
765,E ainda tem oito cachorros -- contou Luciano. ,A casa também tem oito cachorros -- contou Luciano. 
2655,"No recinto dos primatas, os aquecedores a óleo são desligados por volta das 8h. ","Na área dos macacos, desligam-se os aquecedores a óleo por volta das 8h. "
1548,"O sol se põe no mar, à esquerda, ensombrecendo as montanhas do norte de Israel, à direita. ","O sol se põe no mar, à esquerda, cobrindo de sombras as montanhas do norte de Israel, à direita. "
1485,"-- O problema não é o florestamento em si, mas a dimensão que ele toma. ",-- O problema não é a plantação de árvores em si. 
1683,"Nas ruas de Madrid, apareceram cartazes com a frase ""Fucking gordo cabrón"" (algo como ""maldito gordo imbecil""). ","Nas ruas de Madri, apareceram cartazes com a frase ""fucking gordo cabrón"". "
2839,Então vou para o Fórum em busca desse conceito de novo socialismo -- afirma Jahn. ,Então vou para o Fórum em busca desse conceito de novo socialismo -- afirma Jahn. 
3178,"Não temos certeza de que aquela carga era ilegal, mas sabemos que 80% da atividade madeireira no Brasil é irregular e que a Selvaplac tem uma tradição de envolvimento com madeira ilegalmente extraída, disse à Folha Rebeca Lerer, ativista brasileira do Greenpeace. ",Rebeca Lerer é defensora do Greenpeace. 
423,"Foi essa, aliás, a faceta que ele mostrou ao vivo para os gaúchos, ao cantar com Roberto Carlos no Estádio Beira-Rio, em abril de 1998. ",Ele mostrou esse lado ao vivo para os gaúchos quando cantou com Roberto Carlos. 
3005,"Além de equipamentos eletrônicos, como de praxe -- TVs, DVDs e aparelhos de som, entre outros, até as bandeiras do Brasil e do Rio Grande do Sul foram levadas, assim como o globo das aulas de geografia. ","Além dos equipamentos eletrônicos de costume, levaram até as bandeiras do Brasil e do Rio Grande do Sul. "
540,"Programada para cinco dias, até 13 de maio, a viagem do sumo pontífice em terras brasileiras inclui encontro com o presidente Lula, reunião com líderes de outras religiões, evento com jovens em um estádio de futebol, visita a uma fazenda de tratamento de dependentes químicos e missa para canonização do primeiro santo brasileiro -- o frade franciscano Antônio de Santa Anna Galvão (1739-1822), ou simplesmente Frei Galvão. ",A viagem do papa vai durar cinco dias. 
3388,A força gravitacional existente em suas imediações é tão forte que nem a luz consegue escapar. ,A força gravitacional próxima a ela é tão forte que nem a luz consegue escapar. 
1518,"Mas a montagem O Pequeno Príncipe, produzida e estrelada por Luana Piovani, em cartaz até domingo no Teatro do Bourbon Country, não deixa por menos: ",Mas a peça de teatro O Pequeno Príncipe não deixa por menos: 
2325,"Além da proteção contra a pólio, os menores de um ano poderão receber as doses da tetravalente (contra difteria, tétano, coqueluche e doenças causadas por haemophilos influenzae do tipo B), tríplice viral, hepatite B e rotavírus. ","Além da proteção contra a poliomielite, os menores de um ano poderão receber as doses da tetravalente, tríplice viral, hepatite B e rotavírus. "
1504,Vinte ônibus percorreram bairros e escolas de Passo Fundo recolhendo simpatizantes. ,Vinte ônibus percorreram bairros e escolas de Passo Fundo recolhendo simpatizantes. 
1842,"Investidores temem que o governo chinês anuncie uma nova rodada de medidas para deter o superaquecimento da economia -- em 2006, ela avançou 10,7%. ",As pessoas que colocam seu dinheiro no mercado de capitais temem que o governo chinês anuncie novas medidas para parar o aquecimento exagerado da economia. 
3733,"Se a amostra a ser analisada contiver milhares de organismos diferentes, há uma dificuldade natural de recompor o quebra-cabeças após a leitura das seqüências de DNA. ","Se o pedaço a ser analisado contiver milhares de organismos diferentes, há uma dificuldade natural de montar o quebra-cabeças em seguida à leitura das seqüências de DNA. "
3818,"A multa pode ser reduzida em 90% se for apresentado um plano de recuperação da área , afirmou o gerente-executivo do Ibama em Campo Grande (MS), Nereu Fontes. ","A multa pode ser reduzida em 90% se for apresentado um plano de recuperação da área , afirmou Nereu Fontes. "
3169,Portugal disse que os agronegócios correspondem a 25% do PIB brasileiro e que a biotecnologia é fundamental para manter a competitividade da agricultura. ,Portugal disse que os agronegócios correspondem a 25% do PIB brasileiro e que a biotecnologia é fundamental para manter a qualidade competitiva da agricultura. 
4073,Nem precisaria estar em um robô. ,Nem precisaria estar em um robô. 
2265,"O real recuperou toda a desvalorização sofrida ante o dólar na quinta-feira, quando os investidores tiveram um dia de pânico. ","O real recuperou toda a desvalorização que sofreu diante do dólar na quinta-feira, quando os investidores tiveram um dia de pânico. "
3210,"O animal era um carnívoro que habitou o nordeste brasileiro há 110 milhões de anos, no período Cretáceo (o último da era dos grandes répteis). ",O animal era carnívoro. 
2063,"Ygnacio Yores, 24 anos, estudante de Direito, é um exemplo da desilusão. ","Ygnacio Yores, 24 anos, estudante de Direito, é um exemplo da desilusão. "
2275,"A gente ainda não conhece toda a verdade do que aconteceu lá fora -- advertiu Cristiano Zanuzo, da corretora Renova. ",A gente ainda não conhece toda a verdade do que aconteceu lá fora -- advertiu Cristiano Zanuzo. 
2107,"Na conversa com os líderes tribais sunitas, Bush foi incisivo: ",Bush foi incisivo na conversa com os líderes de tribos sunitas: 
2242,"Uma expedição que começa na próxima sexta-feira pretende romper, pela primeira vez, a crosta terrestre. ",Uma viagem científica que começa na próxima sexta-feira pretende romper a crosta terrestre pela primeira vez. 
3539,Mas sua função pode ser definida de um jeito bem simples: ,Mas sua função pode ser definida de um jeito muito simples: 
3444,"Um dos estudos, feito por cientistas suecos e chineses, envolveu a análise do DNA de cachorros de várias partes do planeta. ",Um dos estudos envolveu a análise do DNA de cachorros de várias partes do planeta. 
1965,"Terá origem no Rio Grande do Sul a maior parte do biodiesel que começa a ser adicionado de forma obrigatória, na proporção de 2%, a partir de 1º de janeiro. ","A maior parte do biodiesel que começa a ser adicionado de forma obrigatória, na proporção de 2%, a partir de 1º de janeiro, terá origem no Rio Grande do Sul. "
1158,"Desta vez, até outros líderes da oposição apoiaram a iniciativa da mesa. ","Desta vez, até outros líderes da oposição apoiaram a iniciativa da mesa. "
1350,"Depois de perder um quarto da receita nas vendas ao Exterior dos últimos dois anos, os moveleiros também espreitam chances de recuperar rentabilidade com um dólar entre R$ 2,10 e R$ 2,15, segundo Maristela Cusin Longhi, presidente da Associação das Indústrias de Móveis do Estado do Rio Grande do Sul. ","Os fabricantes de móveis também aguardam chances de recuperar rendimentos com um dólar entre R$ 2,10 e R$ 2,15. "
3928,"As criaturas, antes desconhecidas no Brasil, podem ajudar a elucidar o mecanismo bioquímico que leva à produção de luz em fungos. ","Os fungos, antes desconhecidos no Brasil, podem ajudar a explicar o mecanismo bioquímico que leva à produção de luz em fungos. "
3515,A Verdade sobre Gatos e Cachorros. ,A Verdade sobre Gatos e Cachorros. 
3404,A nova pesquisa promete ter impacto ainda maior no meio científico do que o estudo atual. ,A nova pesquisa promete um efeito ainda maior no meio científico do que o estudo atual. 
1616,"Denin foi amarrado numa árvore próxima à da colméia, e em menos de um minuto estava coberto por abelhas de uma espécie miscigenada. ",Amarraram Denin numa árvore próxima à colméia. 
627,"Lucilene tentou impedir o garoto, mas Riquelme não deu ouvidos, abaixou-se, tapou o nariz com os dedos e entrou na casa. ",Lucilene tentou impedir o garoto. 
2833,"Aos 62 anos, Jahn é um dos gaúchos que participarão da 7ª edição do Fórum Social Mundial, que começa no sábado e vai até o dia 25 no país africano. ",Jahn tem 62 anos. 
2303,"A previsão de Gallina é que a obra pronta seja entregue no segundo semestre de 2010, junto com a reforma da Ponte Hercílio Luz. ","A previsão de Gallina é que a obra pronta seja entregue no segundo semestre de 2010, junto com a reforma da Ponte Hercílio Luz. "
1549,A estrada que leva à fronteira com o Líbano segue a direção da orla. ,A estrada até a fronteira com o Líbano segue a direção do litoral. 
3224,O nome é uma alusão à região onde ele viveu (a Formação Santana). ,O nome é uma referência à região onde ele viveu. 
1520,"Mas a montagem O Pequeno Príncipe, produzida e estrelada por Luana Piovani, em cartaz até domingo no Teatro do Bourbon Country, não deixa por menos: ",Mas a peça de teatro O Pequeno Príncipe não deixa por menos: 
3419,"Eles encontraram uma quilha (a espinha dorsal de uma embarcação) com quase quatro metros de comprimento e a ponta de uma caverna, peça encaixada transversalmente à quilha que forma o esqueleto do navio. ",Eles encontraram uma quilha com quase quatro metros de comprimento. 
2778,"Agora, a solução para a crise da Varig está encaminhada -- disse Marcio Marsillac, do TGV, acrescentando que os trabalhadores pretendem formar um consórcio para participar do leilão. ","Agora, a solução para a crise da Varig está em andamento -- disse Marcio Marsillac do TGV. "
3383,"Cientistas do Centro de Estudos de Saclay, na França, parecem ter encontrado o primeiro indício de que a Via Láctea esteja cercada por um verdadeiro campo minado de buracos negros, cerca de 1 milhão ao todo, eles estimam. ","Cientistas do Centro de Estudos de Saclay, na França, parecem ter encontrado o primeiro sinal de que a Via Láctea esteja cercada por um verdadeiro campo cheio de buracos negros, cerca de 1 milhão ao todo, eles calculam. "
308,Foram seguidos por outros quatro ministros. ,Outros quatro ministros fizeram a mesma coisa. 
2343,"-- A ação de brincar converte um cabo de vassoura em um cavalo, uma tampa de panela em volante de automóvel, uma caneta em microfone e os lençóis em barracas e castelos -- ressalta. ","-- A ação de brincar converte um cabo de vassoura em um cavalo, uma tampa de panela em volante de automóvel, uma caneta em microfone e os lençóis em barracas e castelos -- destaca. "
1528,"A história é bem conhecida -- O Pequeno Príncipe seria um dos livros mais traduzidos no mundo --, e é construída em cima das pequenas grandes descobertas que o príncipe (vivido, claro, por Luana) faz com a ajuda de um aviador (Marcus Alvisi), de plantas, de uma cobra, de uma raposa e de um pássaro que lhe cruzam a jornada. ",A história é muito conhecida. 
348,"No primeiro, poderá ser erguido um estádio provisório, para 30 mil pessoas, onde o Grêmio mandará seus jogos por pelo menos dois anos, prazo estimado para a conclusão da arena. ",No Eldorado do Sul poderá ser construído um estádio provisório. 
2634,"Exemplo deste fenômeno ocorre em Alvorada, que registra a menor média do Rio Grande do Sul: ","Em Alvorada, ocorre exemplo desse fenômeno. "
2287,"Essa decisão não altera a taxa básica de juro de curto prazo, que tem impacto mais direto sobre os juros que as instituições financeiras cobram de seus clientes. ","Essa decisão não altera a taxa básica de juro de curto prazo, que tem influência mais direta sobre os juros que as instituições financeiras cobram de seus clientes. "
1982,"-- A partir de zero hora do dia 1º, todo posto terá de vender o B2. ","-- A partir de zero hora do dia 1º, todo posto terá de vender o B2. "
255,"Os aparelhos no teto, explica Simões, são os preferidos pela possibilidade de puxar a tela para cima quando não é usada, deixando o equipamento menos visível, dificultando furtos. ","Simões explica que os aparelhos no teto são os preferidos, porque se pode puxar a tela para cima quando não está sendo usada. "
2896,Precisamos de políticas públicas -- analisa Jane. ,Precisamos de políticas públicas -- analisa Jane. 
1971,"Somadas, as indústrias do Rio Grande do Sul teriam capacidade para atender a quase metade do abastecimento nacional previsto para 2008, de 840 milhões de litros. ","As indústrias do Rio Grande do Sul somadas teriam capacidade para atender a quase metade do fornecimento nacional previsto para 2008, de 840 milhões de litros. "
3559,"Quanto mais leve a molécula, menos tempo ela leva para atravessar o tubo. ","Quanto mais leve a molécula, menos tempo ela leva para atravessar o tubo. "
2625,O combustível ficou mais caro apenas para os motoristas de Uruguaiana e Santa Rosa. ,O combustível ficou mais caro apenas para os motoristas de Uruguaiana e Santa Rosa. 
1949,-- Descobriram mais um jeito de nos deixar conectados o tempo todo. ,-- Descobriram mais um jeito de nos deixar conectados o tempo todo. 
3193,"Desse total, 200 milhões se devem ao desmatamento. ","Desse total, 200 milhões se devem ao desmatamento. "
3888,Imagens da barriga do ônibus feitas pela dupla de astronautas residentes da ISS (Estação Espacial Internacional) antes que a nave atracasse ao complexo mostraram que duas tiras do tecido que preenche os vãos entre as telhas do escudo térmico da nave estavam protuberantes. ,Imagens da barriga do ônibus feitas pela dupla de astronautas que mora na Estação Espacial Internacional (ISS) antes que a nave encostasse no complexo mostraram que duas tiras do tecido que preenche os vãos entre as telhas do escudo que mantém a temperatura da nave estavam saltados. 
812,Especialistas esperam verões mais amenos e inundações na Ásia. ,Especialistas esperam verões mais amenos e inundações na Ásia. 
426,Pavarotti não foi apenas um propagador da ópera para o grande público -- foi um dos principais responsáveis pela revitalização do gênero ao longo do século passado. ,Ele não foi apenas um divulgador da ópera para o grande público. 
2121,"Imagens inéditas divulgadas na Grã-Bretanha ressuscitaram o interesse em relação à princesa Diana, morta em um acidente de carro 10 anos atrás, em 31 de agosto de 1997. ","Imagens que nunca foram vistas antes divulgadas na Grã-Bretanha fizeram voltar o interesse pela princesa Diana, morta em um acidente de carro dez anos atrás, em 31 de agosto de 1997. "
3042,"Para Pedro Chequer, representante do UNAIDS no Brasil, a diferença nos números se deve ao aperfeiçoamento da metodologia e às ações efetivas de enfrentamento da epidemia que vêm sendo desenvolvidas em diversos países. ",Pedro Chequer diz que a diferença nos números se deve aos métodos melhorados e às ações de efeito real para enfrentar a epidemia que vêm sendo desenvolvidas em diversos países. 
1011,"Os amigos, que moram nas proximidades da escola -- onde chegaram a estudar, foram abordados às 3h20 min. ",Os amigos moram perto da escola. 
537,"Programada para cinco dias, até 13 de maio, a viagem do sumo pontífice em terras brasileiras inclui encontro com o presidente Lula, reunião com líderes de outras religiões, evento com jovens em um estádio de futebol, visita a uma fazenda de tratamento de dependentes químicos e missa para canonização do primeiro santo brasileiro -- o frade franciscano Antônio de Santa Anna Galvão (1739-1822), ou simplesmente Frei Galvão. ",A viagem do papa vai durar cinco dias. 
632,-- Claro que não. ,-- Claro que não. 
3076,"O Grupo RBS celebra hoje os seus primeiros 50 anos de existência com as mãos no trabalho, os olhos no futuro e o coração tomado pela mesma paixão de comunicar que motivou Maurício Sirotsky Sobrinho ao associar-se à Rádio Gaúcha em 1957. ",O Grupo RBS celebra hoje os seus primeiros 50 anos de existência. 
466,"O primeiro-ministro iraquiano, Nouri al-Maliki, aceitou formalmente, na quinta-feira passada, em uma longa conversa telefônica com o presidente Bush, o aumento das tropas dos EUA, revelou o Times. ",O Times revelou que o primeiro-ministro iraquiano aceitou formalmente o aumento das tropas dos EUA. 
3590,"O equipamento foi lançado ao espaço em 1996, numa órbita baixa (cerca de 600 km de altitude) com uma pequena inclinação, ou seja, quase exatamente sobre a linha do Equador. ","O equipamento foi lançado ao espaço em 1996, numa órbita baixa de cerca de 600 km de altura, com uma pequena inclinação, ou seja, quase exatamente sobre a linha do Equador. "
546,"Ontem, durante as celebrações de Páscoa, em discurso no balcão da basílica de São Pedro, na bênção Urbi et Orbi (para a cidade de Roma e o mundo), o Papa falou de temas que têm sido freqüentes em seus discursos e que podem ser repetidos no Brasil: ","Ontem, o papa falou de temas freqüentes em seus discursos. "
1582,Vale a pena abrir? ,Vale a pena abrir? 
3487,Não conseguem. ,Não conseguem. 
272,O fenômeno foi responsável pelo cancelamento de 12 vôos e pelo atraso de outros 26 pousos e decolagens. ,A neblina foi responsável pelo cancelamento de 12 vôos. 
2573,"Perguntado se o protocolo de Kyoto será ratificado no caso da eleição de um democrata para a presidência em 2008, Kerry surpreendeu. ",Kerry surpreendeu quando lhe perguntaram se o protocolo de Kyoto será confirmado no caso da eleição de um democrata para a presidência em 2008. 
354,"Amanhã pela manhã, eles se encontrarão com o prefeito José Fogaça, que prometeu apoio para a realização de obras de infra-estrutura na área em que a arena será erguida. ","Amanhã pela manhã, eles se encontrarão com o prefeito José Fogaça. "
1611,"A agonia de Denin, como se chamava o animal, foi acompanhada por pedestres assustados e impotentes, que temiam se aproximar sob o risco de se tornarem vítimas. ",O cavalo se chamava Denin. 
1258,Acabou batendo em um muro e fraturou a coluna vertebral. ,Lima acabou batendo em um muro. 
2981,"Enquanto esperavam por alguma novidade no céu estrelado de Rio Pardinho, Matheus e os outros participantes da vigília se revezaram nos instrumentos de observação -- dois telescópios e três lunetas. ","Enquanto esperavam por alguma novidade no céu cheio de estrelas de Rio Pardinho, Matheus e os outros participantes trocaram de lugar nos instrumentos de observação. "
2508,"Na mesma reunião, a mesa aprovou a publicação das prestações de contas dos gastos com a verba indenizatória na internet, assim como é feito pela Câmara. ","Na mesma reunião, a mesa aprovou a publicação das prestações de contas dos gastos com a verba indenizatória na internet. "
3208,"O animal era um carnívoro que habitou o nordeste brasileiro há 110 milhões de anos, no período Cretáceo (o último da era dos grandes répteis). ",O animal era carnívoro. 
2707,"O dormitório, de aproximadamente cinco metros por cinco metros, completa-se com um guarda-roupas de duas portas, uma mesa, um frigobar e um aparelho de ar condicionado. ",O dormitório tem mais ou menos cinco metros por cinco metros. 
1114,"A sexta-feira deveria ter sido o último dia do encontro, mas, de forma inédita, as sessões foram adiadas para hoje. ",A sexta-feira deveria ter sido o último dia do encontro. 
51,"O projeto prevê a criação do Programa Nacional de Uniforme Escolar para que o Palácio do Planalto ajude Estados e municípios, mas mantém as dúvidas se as verbas serão suficientes. ",O projeto prevê a criação do Programa Nacional de Uniforme escolar para que o governo federal ajude Estados e municípios. 
3538,"Espectrômetro de massa de ionização por dessorção a laser com auxílio de matriz (Maldi, na sigla em inglês). ",Espectrômetro de massa de ionização por dessorção a laser com auxílio de matriz. 
1317,"Não é qualquer um que chega lá -- brincou o comerciante Décio Miguel Steffens, 38 anos, primo do religioso. ",Não é qualquer um que chega lá -- brincou o comerciante Décio Miguel Steffens. 
3082,É para aproximar as pessoas de seus desejos e das outras pessoas que a RBS construiu uma rede multimídia de comunicação com alma regional e visão global. ,"A RBS construiu uma rede multimídia de comunicação com alma regional e visão global, com o objetivo de aproximar as pessoas de seus desejos e das outras pessoas. "
1671,"Segundo a campanha, porém, os Reis Magos são ""os legítimos representantes da magia do Natal"", e não faltam críticas ao velho barrigudo. ","Mas a campanha diz que os Reis Magos são ""os verdadeiros representantes da magia do Natal"". "
1976,"Ontem, o ministro interino de Minas e Energia, Nelson Hubner, avisou que ainda em 2008 o governo pensa em elevar o percentual para 3% de forma autorizada, isto é, não obrigatória. ","Ontem, Nelson Hubner avisou que o governo pensa em elevar a taxa para 3% de forma autorizada, isto é, não obrigatória, ainda em 2008. "
3750,"Apesar de estudada de forma intensa no mundo todo, a moléstia tem um mecanismo de ação ainda pouco compreendido. ","A doença é estudada de forma intensa no mundo todo, mas tem um mecanismo de ação ainda pouco compreendido. "
3205,"Ele citou como exemplo as cidades de Paragominas (PA), Açailândia (MA) e Humaitá (AM). ","Ele citou como exemplo as cidades de Paragominas no Pará, Açailândia no Maranhão e Humaitá no Amazonas. "
3454,"Jennifer leonard, da Universidade da Califórnia em Los Angeles, e colegas de instituições do Peru e do México procuraram verificar o material genético de raças de cachorro sabidamente anteriores à chegada dos europeus. ",Jennifer Leonard é da Universidade da Califórnia em Los Angeles. 
1078,"-- O PCC mexeu numa peça sensível e emperrou a engrenagem -- reconheceu o coronel Eliseu Eclair, comandante da PM paulista. ",-- O PCC mexeu numa peça sensível. 
3333,Ele afirmou que dieta e exercícios devem continuar a protagonizar tratamentos para emagrecer. ,Ele afirmou que dieta e exercícios devem continuar a ser os elementos principais dos tratamentos para emagrecer. 
1136,"O ex-presidente chileno Ricardo Lagos circula nos corredores da conferência como emissário do secretário-geral da ONU, Ban Ki-moon, tentando viabilizar um acordo. ",O ex-presidente chileno Ricardo Lagos circula nos corredores da conferência como enviado do secretário-geral da ONU. 
2246,"As perfurações serão feitas na Fossa de Nankai, junto à costa japonesa, no Oceano Pacífico, onde a crosta é relativamente fina. ","As perfurações serão feitas na Fossa de Nankai, perto da costa japonesa, no Oceano Pacífico, onde a crosta é mais ou menos fina. "
3630,"Desses, só dois chegaram ao nascimento. ","Desses, só dois chegaram ao nascimento. "
2203,"Segundo a técnica de segurança da empresa, Gilmara Martinez, até 2006, a média era de 150 ataques por ano em todo o Rio Grande do Sul. ","Gilmara Martinez diz que, até 2006, a média era de 150 ataques por ano em todo o Rio Grande do Sul. "
633,O Homem-Aranha não é fraco e não tem medo de nada. ,O Homem-Aranha não é fraco e não tem medo de nada. 
2541,"A UFSC terá de criar vagas extras quando, entre os aprovados e o número de vagas previsto no curso, não se encaixar nenhum que esteja inserido no sistema de cotas e houver candidatos desse perfil que também foram aprovados. ","A UFSC terá de criar vagas extras quando, entre os aprovados e o número de vagas previsto no curso, não houver nenhum que esteja no sistema de cotas e houver candidatos aprovados com essa característica. "
2585,"O menino come a merenda oferecida pela Escola Municipal Moacyr Ramos Martins com gosto e aprendeu a saborear frutas e legumes, sempre tão difíceis de serem incorporados a seu cardápio. ","O menino come com gosto a merenda oferecida pela Escola Municipal Moacyr Ramos Martins e aprendeu a saborear frutas e legumes, sempre tão difíceis de serem incorporados a seu cardápio. "
410,"Mas o cantor italiano, que morreu ontem aos 71 anos devido a um câncer no pâncreas, merece definição melhor: ",Mas o cantor italiano merece uma definição melhor: 
2708,"O dormitório, de aproximadamente cinco metros por cinco metros, completa-se com um guarda-roupas de duas portas, uma mesa, um frigobar e um aparelho de ar condicionado. ",O dormitório tem mais ou menos cinco metros por cinco metros. 
1252,"Surfista experiente, às 18h de sábado ele teria decidido testar suas habilidades numa prancha em terra firme. ",Lima era um surfista com prática. 
3164,"Com ela, aumentou-se a produção de moranguinho, no sul do país, de 3,2 kg para 60 kg por hectare. ","Com ela, a produção de morango no sul do país aumentou de 3,2 kg para 60 kg por hectare. "
3851,"As duas equipes de pesquisadores fizeram estudos semelhantes e divulgaram os resultados nas edições desta semana das revistas ""Nature"" (www.nature.com), que circula hoje, e ""Science"" (www.sciencemag.org), que sai publicada amanhã. ","As duas equipes de pesquisadores fizeram estudos semelhantes e divulgaram os resultados nas edições desta semana das revistas ""Nature"" e ""Science"". "
3197,"O desmatamento da Amazônia atingiu 16.926 km2 em 99, disse a secretária de Coordenação da Amazônia do Ministério do Meio Ambiente, Mary Allegretti. ",Mary Allegretti é a secretária de Coordenação da Amazônia do Ministério do Meio Ambiente. 
159,A cláusula de barreira também ajudou a confundir as siglas. ,A cláusula de barreira também ajudou a confundir as siglas. 
844,"A data é marcada por reuniões familiares, rezas e pelo cultivo de tradições como o toque do shofar (instrumento de sopro feito, geralmente, de chifre de carneiro) e a oferta de doces. ","A data é marcada por reuniões familiares, rezas e pela manutenção de tradições. "
2814,"Há cerca de um ano, o chapéu, também feito em bronze, desapareceu. ",O chapéu desapareceu há cerca de um ano. 
1770,Tudo pelo valor que custariam sem os encargos. ,Tudo pelo valor que custariam sem os encargos. 
